Rank,Score,Name,City,State
636,6.8,Artistic Pizza,New York,NY
636,6.8,Cascarino’s Brick Oven Pizzeria & Ristorante,Whitestone,NY
636,6.8,Krave It Sandwich Shop & Eatery,Bayside,NY
636,6.8,Pizza 7,Saratoga Springs,NY
636,6.8,Claudio Pizzeria,New York,NY
636,6.8,East Side Pizza,Miami,FL
705,6.7,Medusa Stone Fired Kitchen,Asbury Park,NJ
705,6.7,Pasquale's Pizza & Pasta,Indianapolis,IN
705,6.7,I Love Pizza,Miami Beach,FL
705,6.7,Delicious Pizza,Los Angeles,CA
705,6.7,Zuccarelli,Pompano Beach,FL
705,6.7,Leo's Pizza,Miami,FL
705,6.7,New York Pizza & Restaurant,Miami,FL
705,6.7,New York Pizza & Restaurant,Miami,FL
705,6.7,Trattoria Napoli,Union City,NJ
705,6.7,In Riva,Philadelphia,PA
705,6.7,Gennaro's Pizza,Pittsburgh,PA
705,6.7,Tre Sorelle,New York,NY
705,6.7,John & Tony's,New York,NY
705,6.7,Filippi's Pizza Grotto Pacific Beach,San Diego,CA
705,6.7,Fino Wood Fired Pizza & Bar,Watertown,CT
705,6.7,Village Pizzeria,Floral Park,NY
705,6.7,Giovanni’s Pizzeria & Restaurant,Hoboken,NJ
705,6.7,Strong’s Brick Oven Pizzeria,Lawrenceburg,IN
705,6.7,Villa Monte Restaurant,Staten Island,NY
705,6.7,Franco & Vinny’s,Fort Lauderdale,FL
705,6.7,Millie’s Old World Meatballs & Pizza,Morristown,NJ
705,6.7,Cittanuova,East Hampton,NY
705,6.7,Crust,Cleveland,OH
705,6.7,Pepperoni’s,East Hampton,NY
705,6.7,Rosa's Pizza,Middle Village,NY
705,6.7,Sal's Pizzeria,Brooklyn,NY
705,6.7,Rinas Pizzeria & Cafe,Boston,MA
705,6.7,Eataly Boston,Boston,MA
705,6.7,La Mia Pizza,New York,NY
705,6.7,Buchetta Brick Oven Pizza,New York,NY
705,6.7,Primavera Pizza & Pasta,New York,NY
705,6.7,Shakespeare’s Pizza - Downtown,Columbia,MO
705,6.7,Via Trenta Pizzoteca,New York,NY
705,6.7,PeppeBroni’s Pizza,Morgantown,WV
705,6.7,Davenport’s Pizza Palace,Mountain Brook,AL
705,6.7,Faccia Luna Pizzeria,State College,PA
705,6.7,Federal Hill Pizza Providence,Providence,RI
705,6.7,Beebe’s,Long Island City,NY
705,6.7,Dragon By The Sea,Nantucket,MA
744,6.6,Johnny Mac House of Spirits,Asbury Park,NJ
744,6.6,Miami's Best Pizza,Coral Gables,FL
744,6.6,Tonelli's,Lafayette Hill,PA
744,6.6,Allegro Pizza and Grill,Philadelphia,PA
744,6.6,Allegro Pizza and Grill,Philadelpha,PA
744,6.6,Mario’s Pizzeria Massapequa,Massapequa,NY
744,6.6,Broders Cucina Italiana,Minneapolis,MN
744,6.6,Mike’s Pizza Palace,Naugatuck,CT
744,6.6,Sazio,Delray Beach,FL
744,6.6,Colasante's Ristorante & Pub,Morgantown,WV
744,6.6,Pizza Joint,Augusta,GA
744,6.6,Mama Rosa Pizza and Pasta,Rutherford,NJ
744,6.6,Napoli Pizza,Daytona Beach,FL
744,6.6,Not Ray's Pizza,Brooklyn,NY
744,6.6,Muzzarella Pizza,New York,NY
744,6.6,Pizza Time,Columbia,MO
744,6.6,Union St Pizza,Brooklyn,NY
744,6.6,Galleria Umberto,Boston,MA
744,6.6,Chilmark General Store,Chilmark,MA
744,6.6,Nick's Pizza,New York,NY
744,6.6,Two Boots West Village,New York,NY
744,6.6,Pizza Rollio,New York,NY
744,6.6,Cassiano's Pizza,New York,NY
744,6.6,Pizza By Certé,New York,NY
744,6.6,Sciortino’s Pizza Pasta & M,Perth Amboy,NJ
744,6.6,Dewey’s Pizza,Saint Louis,MO
744,6.6,Ribalta Mo’,New York,NY
771,6.5,Museum of Pizza,Brooklyn,NY
771,6.5,Brenz Pizza Co.,Knoxville,TN
771,6.5,Rivington Pizza,New York,NY
771,6.5,Square Pizza,New York,NY
771,6.5,Hope Pizza Restaurant,Stamford,CT
771,6.5,Pasquale’s Pizza,Boonton,NJ
771,6.5,Bond 45,New York,NY
771,6.5,Casa D'amici,Morgantown,WV
771,6.5,Pazzo's Pizza Pub,Lexington,KY
771,6.5,Lorenzo & Sons Pizza,Philadelphia,PA
771,6.5,Pies on Wheels,Saratoga Springs,NY
771,6.5,Oath Pizza - East 67th Street,New York,NY
771,6.5,Boomershine Pizzeria,Bluff City,TN
784,6.4,Siena Pizza & Cannoli,New York,NY
784,6.4,Eric Gordon's Greek's Pizzeria,Bloomington,IN
784,6.4,Nino's Restaurant & Pizzeria,Lodi,NJ
784,6.4,Benny Fierro's,Pittsburgh,PA
784,6.4,Pizza Al's,Morgantown,WV
784,6.4,Bearno's By the Bridge,Louisville,KY
784,6.4,The O Patio & Pub,Columbus,OH
784,6.4,Bruno Bros Pizza,Austintown,OH
784,6.4,Hawthorne's NY Pizza & Bar,Charlotte,NC
784,6.4,Georgio Pizzeria,New York,NY
784,6.4,Kesté Pizza & Vino,New York,NY
784,6.4,Bill's Pizzeria Kitchen + Grille,Hopkinton,MA
784,6.4,Regina Pizzeria,Mashantucket,CT
784,6.4,Rocky’s Pizza Bar and Restaurant,New York,NY
784,6.4,Va Bene,New York,NY
784,6.4,Claudio Pizzeria,New York,NY
784,6.4,Don Antonio,New York,NY
784,6.4,Belmora Pizza & Restaurant,New York,NY
784,6.4,Siena Pizza,New York,NY
803,6.3,Old Fashioned Pizza,New York,NY
803,6.3,Casola’s Pizzeria & Sub Shop,Miami,FL
803,6.3,Spris,Miami Beach,FL
803,6.3,Margari Pizza,New York,NY
803,6.3,Palio Pizzeria,Hyannis,MA
803,6.3,Torino Restaurant and Bar,Hyannis,MA
803,6.3,Dulono's Pizza,Minneapolis,MN
803,6.3,Frank From Philly & Andrea Pizza,Minneapolis,MN
803,6.3,Sottosuolo NYC,New York,NY
803,6.3,Il Forno Pizza,New York,NY
803,6.3,Little Italy Pizza,New York,NY
803,6.3,Francesca's Restaurant & Pizzeria,Hampton Bays,NY
803,6.3,Sutton Pizzeria,New York,NY
803,6.3,B Side Pizza & Wine Bar,New York,NY
803,6.3,Tavola,New York,NY
803,6.3,Kiss My Slice,New York,NY
819,6.2,Upper Crust Pizza,Celebration,FL
819,6.2,Green Lantern Pizza,Madison Heights,MI
819,6.2,Axis Pizza,Philadelphia,PA
819,6.2,Hello Pizza,Edina,MN
819,6.2,Rosella’s Pizzeria,New York,NY
819,6.2,Imo’s Pizza,Saint Louis,MO
819,6.2,Casa Barilla,New York,NY
819,6.2,Pizza Di Roma,Madison,WI
819,6.2,Fortina - Brooklyn,Brooklyn,NY
819,6.2,B & W Deli & Pizzeria,New York,NY
819,6.2,Gino's East - Magnificent Mile,Chicago,IL
819,6.2,Krispy Pizza,Jersey City,NJ
819,6.2,Rossetti's Pizza,New York,NY
819,6.2,Black Square Pizza,New York,NY
819,6.2,Five50 Pizza Bar,Las Vegas,NV
819,6.2,Alphonso's Pizzeria & Trattoria,New York,NY
819,6.2,Da Gennaro,New York,NY
819,6.2,Lombardi's Pizza,New York,NY
819,6.2,Moto Pizza,Sandwich,MA
819,6.2,Baldie's Pizza & Subs,Lakeville,MA
819,6.2,Full Moon Pizzeria,Bronx,NY
819,6.2,Broadway Pizza & Restaurant,New York,NY
819,6.2,Farinella Bakery Pizza,New York,NY
819,6.2,Iggy's Pizzeria,New York,NY
819,6.2,Stella's Pizza,New York,NY
819,6.2,Famous Original Ray's Pizza,New York,NY
819,6.2,La Vera Pizzeria & Restaurant,New York,NY
819,6.2,Giuseppe's Pizza,New York,NY
847,6.1,Panera Bread,New York,NY
847,6.1,Mother Bear's Pizza Campus,Bloomington,IN
847,6.1,Panera Bread,New York,NY
847,6.1,Explorers Den,Philadelphia,PA
847,6.1,LaScala's Pronto,Philadelphia,PA
847,6.1,Aiello's Pizza,Pittsburgh,PA
847,6.1,Pizza Bar,Miami Beach,FL
847,6.1,Big Al’s Chicago Style Pizza,New York,NY
847,6.1,Whole Foods Market,New York,NY
847,6.1,Ian’s Pizza by the Slice,Madison,WI
847,6.1,Sausages Pizza & Pastabilities,Montauk,NY
847,6.1,Little Italy Pizza,New York,NY
847,6.1,Lenny’s Pizza,Miami Beach,FL
847,6.1,Piola - Miami Beach,Miami Beach,FL
847,6.1,B & B Pizza,Hyannis,MA
847,6.1,Cheesy Pizza,New York,NY
847,6.1,Percy's Pizza,New York,NY
847,6.1,PieTana,Lexington,KY
847,6.1,Mellow Mushroom,Alpharetta,GA
847,6.1,Marino's Pizza,Saratoga Springs,NY
847,6.1,Solo Pizza,New York,NY
847,6.1,Isola,Edgartown,MA
847,6.1,PQR,New York,NY
847,6.1,Radio City Pizza,New York,NY
847,6.1,Deli On Madison,New York,NY
872,6.0,Chuck E. Cheese's,West Melbourne,FL
873,5.9,Benvenuti Pizzeria,New York,NY
873,5.9,Noble Roman's Craft Pizza & Pub,Westfield,IN
873,5.9,Piu Bello Pizzeria Restaurant,Atlanta,GA
873,5.9,Pranzo Pizza & Pasta,New York,NY
873,5.9,Underground Pizza,New York,NY
873,5.9,Evel Pie,Las Vegas,NV
873,5.9,Little Gio's Pizza,New York,NY
873,5.9,Stella Barra Pizzeria & Wine Bar,Santa Monica,CA
873,5.9,First Class Pizza To Go,Lincoln,AL
873,5.9,NYC Pizza,New York,NY
873,5.9,Healthy Choice Gourmet Deli & Pizza,New York,NY
873,5.9,Faraci Pizza,Ballwin,MO
873,5.9,La Manda’s Restaurant,White Plains,NY
873,5.9,Justin’s Pizza,Bronx,NY
873,5.9,Antonio’s Pizza,Providence,RI
873,5.9,T’s Pizza Kitchen,Stamford,CT
873,5.9,Craigville Pizza & Mexican,Centerville,MA
873,5.9,Muse Pizza,Nantucket,MA
873,5.9,Joey Pepperoni's Pizza,New York,NY
873,5.9,Chelsea Pizza 23,New York,NY
893,5.8,Brothers Pizza,Charles Town,WV
893,5.8,Pi Pizzeria - Delmar Loop,Saint Louis,MO
893,5.8,Jack’s Pizza Hyannis,Hyannis,MA
893,5.8,Springs Pizza,East Hampton,NY
893,5.8,Mediterraneo Restaurant,New York,NY
893,5.8,The Original Impellizeri's Pizza,Louisville,KY
893,5.8,Home Slice Pizza,Austin,TX
893,5.8,Luna Ristorante,New York,NY
893,5.8,Da Nico Ristorante,New York,NY
893,5.8,Pushcart Pizzeria,Boston,MA
893,5.8,Bella Vita Pizzeria,New York,NY
904,5.7,Paisan’s,Madison,WI
904,5.7,Angelo Bellini,New York,NY
904,5.7,Famous Amadeus Pizza,New York,NY
907,5.6,Stella 34 Trattoria,New York,NY
907,5.6,Naked City Pizza Shop,Las Vegas,NV
909,5.5,Angelo's Pizzeria,Princeton,WV
909,5.5,Pizzarita's,San Antonio,TX
911,5.4,Soho 99 Cents Cheese Pizza,New York,NY
911,5.4,LA Traviata Pizzeria,New York,NY
911,5.4,New York Pizza Depot,Ann Arbor,MI
911,5.4,Adriatico's New York Style Pizza,Columbus,OH
911,5.4,Upper Crust Pizzeria,Beverly Hills,CA
911,5.4,Sunnyside Pizza,Sunnyside,NY
911,5.4,Flavors of Italy Bistro,New York,NY
911,5.4,Manhattan Pizzeria,Manhattan Beach,CA
911,5.4,42nd Street Pizza,New York,NY
911,5.4,Ben's Pizzeria,New York,NY
921,5.3,Primanti Bros,Fort Lauderdale,FL
921,5.3,Las Vegas Motor Speedway,Las Vegas,NV
921,5.3,Pizza Luce,Minneapolis,MN
924,5.2,Mangia - Flatiron,New York,NY
924,5.2,Casey's General Store,Coralville,IA
924,5.2,Felcaro Pizzeria,Boston,MA
924,5.2,Olio e Piú,New York,NY
924,5.2,D Napoli Pizza,New York,NY
929,5.1,Edison’s Pizza Kitchen,Cleveland,OH
929,5.1,Bazbeaux Pizza,Indianapolis,IN
929,5.1,Biggie's Pizza,Jacksonville Beach,FL
929,5.1,Rosario's Pizza,New York,NY
929,5.1,Naples 45 Ristorante E Pizzeria,New York,NY
929,5.1,Uncle Paul's Pizza,New York,NY
935,5.0,Snacks,Las Vegas,NV
935,5.0,Patzeria Perfect Pizza,New York,NY
937,4.9,$1 Pizza,New York,NY
937,4.9,Tony + Benny's,LaGuardia Airport,NY
937,4.9,99 Cent Fresh Pizza,New York,NY
937,4.9,Gaslight Pizzeria,New York,NY
937,4.9,Previti Pizza,New York,NY
937,4.9,Time Square Dollar Pizza,New York,NY
937,4.9,Mama Mia 44 SW,New York,NY
937,4.9,Tony’s Baltimore Grill,Atlantic City,NJ
945,4.8,Planet Pizza,Orlando,FL
945,4.8,Three Brothers From Italy,Seaside Heights,NJ
945,4.8,Adrienne's Pizzabar,New York,NY
945,4.8,W4 Pizza,New York,NY
945,4.8,Trenta Tre Pizzeria,New York,NY
945,4.8,Salt & Pepper,New York,NY
945,4.8,Friendly Gourmet Pizza,New York,NY
945,4.8,Big Lou's Pizza,San Antonio,TX
945,4.8,Yankee Pizza,New York,NY
945,4.8,La Rossa,New York,NY
945,4.8,Pazza Notte,New York,NY
945,4.8,Pasta Lovers,New York,NY
957,4.6,Little Caesars Pizza,Princeton,WV
957,4.6,Don Giovanni Ristorante,New York,NY
959,4.3,My Pie Pizzeria Romana,New York,NY
959,4.3,Mom’s New York Pizza,Miami Beach,FL
961,4.2,Pizza De Miami,Miami Beach,FL
961,4.2,Anthony's Pizza VI,Charles Town,WV
961,4.2,Little Italy Pizza,New York,NY
961,4.2,Picasso Pizza,New York,NY
961,4.2,Pomodoro Pizza,New York,NY
961,4.2,Pizza Chef,Whitestone,NY
961,4.2,Meadowlands Racing and Entertainment,East Rutherford,NJ
961,4.2,Pomodoro Ristorante & Pizzeria,New York,NY
961,4.2,Big Nick's Burger & Pizza Joint Too,New York,NY
961,4.2,Pizza Italia,New York,NY
971,4.1,Allora,Mandarina,MX
971,4.1,Ascot Racecourse,Bracknell Forest,UK
971,4.1,Fat Lorenzo's,Minneapolis,MN
971,4.1,Napolese Pizzeria,Indianapolis,IN
971,4.1,Wild,New York,NY
971,4.1,Carve,New York,NY
971,4.1,A Slice of New York,New York,NY
978,4.0,Pizza Park,New York,NY
979,3.9,Libretto's Pizzeria,New York,NY
979,3.9,Mata’s Greek Pizza & Griders,Anniston,AL
981,3.8,Slice Of Edgartown,Edgartown,MA
981,3.8,Pizza Hut,North Bergen,NJ
981,3.8,Talladega Superspeedway,Talladega,AL
981,3.8,Shangri-La Kitchen,Nantucket,MA
981,3.8,Poppy Pizza,Mashpee,MA
986,3.7,Mariella Pizza,New York,NY
987,3.6,Daniela Trattoria,New York,NY
988,3.4,Cheetah Pizza,Edina,MN
988,3.4,Justino's Pizzeria,New York,NY
988,3.4,5 Boroughs Pizza,New York,NY
988,3.4,Secret Pizza,Las Vegas,NV
992,3.3,The Grotto Pizzeria & Ristorante,New York,NY
993,3.2,Stromboli Pizza,New York,NY
993,3.2,Sbarro,New York,NY
993,3.2,La Gusto Pizza,New York,NY
993,3.2,Rico's Pizza,Gary,IN
993,3.2,Bonanno's New York Pizzeria,Las Vegas,NV
993,3.2,Bonanno's New York Pizzeria,Las Vegas,NV
999,3.1,Cottage Inn Pizza - Ann Arbor,Ann Arbor,MI
999,3.1,Z Deli Pizzeria,New York,NY
1001,2.9,McDonald's,Orlando,FL
1001,2.9,Hank's Pizza,New York,NY
1003,2.8,Rocky's Number II,New York,NY
1003,2.8,Canyon Pizza,State College,PA
1003,2.8,Cheska’s,New York,NY
1006,2.7,Intrepid Summer Movie Series,New York,NY
1007,2.5,Da Vinci Pizza,New York,NY
1008,2.4,King's Pizza,Clearwater,FL
1008,2.4,Stanton Pizza,New York,NY
1008,2.4,Fenway Park,Boston,MA
1011,2.2,Square Pizza & Chicken,New York,NY
1011,2.2,Steve's Pizza,New York,NY
1011,2.2,Pizza Al Fresco,Palm Beach,FL
1014,2.1,Ciro’s Pizza Pomodoro,London,UK
1014,2.1,IPizzaNY,New York,NY
1016,1.9,Costco,Clifton,NJ
1016,1.9,Jekyll & Hyde,New York,NY
1016,1.9,Hell’s Kitchen Pizza,New York,NY
1019,1.8,Cafe Viva,New York,NY
1020,1.7,Canal Pizza,New York,NY
1020,1.7,Highline Pizza,New York,NY
1022,1.4,Encore Beach Club,Las Vegas,NV
1022,1.4,Rocky's Pizza 14th St,New York,NY
1024,1.2,Lincoln Financial Field,Philadelphia,PA
1024,1.2,Milk Bar East Village,New York,NY
1024,1.2,Rubby's Pizzeria,New York,NY
1024,1.2,Buca di Beppo Italian Restaurant,New York,NY
1024,1.2,Backroom Pizza,Ann Arbor,MI
1024,1.2,Catfish Biff's Pizza & Subs,Columbus,OH
1024,1.2,Fox's Pizza Den,Charleston,WV
1031,1.1,Georgio's Gourmet Pizza,Chicago,IL
1032,0.9,Pizza Gaga,New York,NY
1033,0.2,The Post,Louisville,KY
1033,0.2,Churchill Downs,Louisville,KY
1033,0.2,F & M Slice Pizza,New York,NY
1036,0.1,Cumberland Farms,Nantucket,MA
1036,0.1,Open Market,New York,NY
1038,0.08,Amtrak,New York,NY
1039,0.02,7-Eleven,New York,NY
1040,0.01,BD Best Pizza,New York,NY
1041,0.0,Dante’s Inferno,Cleveland,OH
1041,0.0,Blaze Fast Fire’d Pizza,Los Angeles,CA
1041,0.0,Café Muse,New York,NY
1041,0.0,Rich’s Grilled Pizza,Augusta,GA
1041,0.0,Industry Kitchen,New York,NY
1041,0.0,Goodfellas Pizzeria,Lexington,KY
